1114 PRESTON AVE ,,22903,AVAILABLE,3193,
2205 FONTAINE AVE ,204,22903,NOT AVAILABLE,,
345 250 BYP ,,22901,NOT AVAILABLE,,
226 DOUGLAS AVE ,,22902,AVAILABLE,9348,
737 LEXINGTON AVE ,,22902,AVAILABLE,5273,
696 HIGHLAND AVE ,,22903,AVAILABLE,12016,
2239 BRANDYWINE DR ,,22901,NOT AVAILABLE,41,
301 15TH ST NW ,1017,22903,NOT AVAILABLE,,
101 NORTH BAKER ST ,,22903,NOT AVAILABLE,8927,
1962 LEWIS MOUNTAIN RD ,3,22903,NOT AVAILABLE,4492,
1014 RIDGE ST ,8,22902,NOT AVAILABLE,,
1021 PRESTON AVE ,B,22903,AVAILABLE,,
1450 RUTLEDGE AVE ,,22903,AVAILABLE,16&12A RUGBY HILLS",
1027 EMMET ST N ,,22903,NOT AVAILABLE,,
1901 EMMET ST N ,,22901,NOT AVAILABLE,436,
511 1ST ST N ,407,22902,UNKNOWN STATE,5593,
511 1ST ST N ,406,22902,UNKNOWN STATE,5593,
720 PROSPECT AVE ,E,22903,NOT AVAILABLE,,
720 PROSPECT AVE ,F,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,C,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,D,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,E,22903,NOT AVAILABLE,,
722 PROSPECT AVE ,F,22903,NOT AVAILABLE,,
724 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
724 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
724 PROSPECT AVE ,C,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,C,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,D,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,E,22903,NOT AVAILABLE,,
726 PROSPECT AVE ,F,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,C,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,D,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,E,22903,NOT AVAILABLE,,
728 PROSPECT AVE ,F,22903,NOT AVAILABLE,,
730 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
730 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
730 PROSPECT AVE ,C,22903,NOT AVAILABLE,,
100 RIDGE ST ,102,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,403,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,404,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,405,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,406,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,407,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,408,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,409,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,410,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,412,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,413,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,414,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,415,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,416,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,417,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,418,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,419,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,420,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,421,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,422,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,423,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,301,22902,NOT AVAILABLE,7123,
107 PIEDMONT AVE N ,B,22903,NOT AVAILABLE,8728,
109 PIEDMONT AVE N ,A,22903,NOT AVAILABLE,8634,
100 RIDGE ST ,302,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,303,22902,NOT AVAILABLE,7123,
140 EMMET ST N ,,22903,AVAILABLE,3582,
100 RIDGE ST ,304,22902,NOT AVAILABLE,7123,
1107 EMMET ST N ,F,22903,NOT AVAILABLE,,
945 EMMET ST N ,,22903,NOT AVAILABLE,,
1417 EMMET ST N ,E,22903,AVAILABLE,1079,
100 RIDGE ST ,305,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,306,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,307,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,308,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,309,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,310,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,311,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,312,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,313,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,314,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,315,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,316,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,317,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,318,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,319,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,320,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,321,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,322,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,323,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,B14,22902,NOT AVAILABLE,7123,
100 RIDGE ST ,B16,22902,NOT AVAILABLE,7123,
500 1ST ST S ,711,22902,NOT AVAILABLE,8297,
500 1ST ST S ,713,22902,NOT AVAILABLE,8297,
500 1ST ST S ,714,22902,NOT AVAILABLE,8297,
500 1ST ST S ,801,22902,NOT AVAILABLE,8297,
500 1ST ST S ,802,22902,NOT AVAILABLE,8297,
500 1ST ST S ,803,22902,NOT AVAILABLE,8297,
500 1ST ST S ,806,22902,NOT AVAILABLE,8297,
500 1ST ST S ,807,22902,NOT AVAILABLE,8297,
322 4TH ST SE ,4,22902,AVAILABLE,,
322 4TH ST SE ,5,22902,AVAILABLE,,
322 4TH ST SE ,6,22902,AVAILABLE,,
322 4TH ST SE ,7,22902,AVAILABLE,,
322 4TH ST SE ,8,22902,AVAILABLE,,
1000 E MARKET ST ,2-6,22902,AVAILABLE,14197,
1000 E MARKET ST ,3-1,22902,AVAILABLE,14197,
1000 E MARKET ST ,3-2,22902,AVAILABLE,14197,
1000 E MARKET ST ,3-3,22902,AVAILABLE,14197,
1000 E MARKET ST ,3-5,22902,AVAILABLE,14197,
1000 E MARKET ST ,3-6,22902,AVAILABLE,14197,
1000 E MARKET ST ,B,22902,AVAILABLE,14197,
1000 E MARKET ST ,1-1,22902,AVAILABLE,14197,
1000 E MARKET ST ,1-2,22902,AVAILABLE,14197,
1000 E MARKET ST ,1-3,22902,AVAILABLE,14197,
1207 EMMET ST N ,,22903,AVAILABLE,,
1000 E MARKET ST ,1-4,22902,AVAILABLE,14197,
1021 GRADY AVE ,,22903,NOT AVAILABLE,4228,
1016 LOCUST AVE ,,22901,AVAILABLE,3586,
630 PROSPECT AVE ,A,22903,NOT AVAILABLE,,
630 PROSPECT AVE ,B,22903,NOT AVAILABLE,,
1632 OXFORD RD ,,22903,AVAILABLE,,
1634 OXFORD RD ,,22903,AVAILABLE,,
2409 JEFFERSON PARK AVE ,,22903,NOT AVAILABLE,,
911 CHERRY AVE ,,22903,AVAILABLE,7668,
2118 BARRACKS RD ,,22903,NOT AVAILABLE,,
864 ST CHARLES AVE ,,22901,NOT AVAILABLE,4378,
119 LODGE CREEK CIR ,,22903,NOT AVAILABLE,12955,
600 BOLLING AVE ,,22902,NOT AVAILABLE,9798,
810 BELMONT AVE ,,22902,AVAILABLE,9860,
612 BOLLING AVE ,,22902,NOT AVAILABLE,9863,
824 BELMONT AVE ,,22902,AVAILABLE,9966,
2120 BARRACKS RD ,,22903,UNKNOWN STATE,,
613 BLENHEIM AVE ,,22902,AVAILABLE,10030,
836 BELMONT AVE ,UP,22902,AVAILABLE,10063,
628 BLENHEIM AVE ,,22902,AVAILABLE,10150,
1100 HARRIS ST ,,22903,AVAILABLE,4008,
907 ALBEMARLE ST ,,22903,NOT AVAILABLE,4554,
1206 E JEFFERSON ST ,,22902,AVAILABLE,8067,
1286 KENWOOD LN ,,22901,AVAILABLE,969,
804 RIVES ST ,,22902,NOT AVAILABLE,12100,
1404 HAMPTON ST ,,22902,NOT AVAILABLE,12106,
1298 KENWOOD LN ,,22901,AVAILABLE,1107,
1319 KENWOOD LN ,,22901,AVAILABLE,1137,
1321 KENWOOD LN ,,22901,AVAILABLE,1138,
1304 KENWOOD LN ,,22901,AVAILABLE,1165,
1318 KENWOOD LN ,,22901,AVAILABLE,1209,
1003 LOCUST LN ,,22901,NOT AVAILABLE,2506,
904 LOCUST LN ,,22901,NOT AVAILABLE,2507,
1206 BLAND CIR ,,22901,NOT AVAILABLE,2564,
1312 KENWOOD LN ,,22901,AVAILABLE,1216,
1419 GROVE RD ,,22901,NOT AVAILABLE,1258,
1409 GROVE RD ,,22901,NOT AVAILABLE,1259,
1420 GROVE RD ,,22901,NOT AVAILABLE,1304,
1024 HOLMES AVE ,,22901,AVAILABLE,2644,
9 MOBILE LN ,,22903,AVAILABLE,13653,
2729 MCELROY DR ,,22903,AVAILABLE,13577,
2742 MCELROY DR ,,22903,AVAILABLE,13672,
416 MOBILE LN ,,22903,AVAILABLE,13758,
1049 FOREST HILLS AVE ,,22903,AVAILABLE,9053,
126 SHAMROCK RD ,1/2,22903,NOT AVAILABLE,7613,
508 RIDGE ST ,B,22902,NOT AVAILABLE,8608,
2303 ANGUS RD ,,22901,NOT AVAILABLE,628,
1142 LOCUST AVE ,,22901,NOT AVAILABLE,2558,
